SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,67740,38,67103,599,0,5,1,4,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,87386,84,86454,848,0,21,-2,23,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,124426,67,123723,636,0,5,4,1,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,75686,43,74972,671,0,8,-3,11,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,48891,91,48119,681,0,7,-3,10,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,60870,23,60358,489,0,8,8,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,62201,35,61586,580,0,1,-3,4,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,62457,66,61884,507,0,6,0,6,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,46198,36,45815,347,0,5,5,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,60003,28,59408,567,0,7,-1,8,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,41159,10,40911,238,0,0,-1,1,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,94321,46,93733,542,0,5,2,3,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,55352,44,54845,463,0,4,1,3,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,204,0,204,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,1282,0,1278,4,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,304,0,304,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,1144,0,1140,4,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,30,0,30,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,37,0,37,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,117,0,117,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,286,0,286,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,573,0,573,0,0,0,0,0,0,,
